# YTID,start_seconds,end_seconds,positive_labels
-NwuLeOWpLk, 420.0, 430.0, scissors
2FjG7F5-RCY, 100.0, 110.0, scissors
3C5qHj5WW1E, 30.0, 40.0, scissors
3hBvEDX7Q8k, 30.0, 40.0, scissors
4GT-0oGtQJg, 580.0, 590.0, scissors
4Kc-ga03dVY, 210.0, 220.0, scissors
4fogaTy4jkc, 470.0, 480.0, scissors
4npJrBtnceA, 280.0, 290.0, scissors
5lNDlR80tsY, 200.0, 210.0, scissors
8UkHc9FLm9U, 380.0, 390.0, scissors
9vRBxzrqjlQ, 350.0, 360.0, scissors
BMcKVcaBDFk, 540.0, 550.0, scissors
BiTHp8Ac7Gg, 30.0, 40.0, scissors
Cilm0WNRdCo, 5.0, 15.0, scissors
D9XwWCyBSOo, 30.0, 40.0, scissors
DMp-ahv7T0w, 60.0, 70.0, scissors
DS5jaDwKk-Q, 30.0, 40.0, scissors
DquIIBo_nwk, 170.0, 180.0, scissors
E0Tvx4FX0_k, 330.0, 340.0, scissors
GI-5X9Xm_64, 220.0, 230.0, scissors
GyXX4y8T38M, 90.0, 100.0, scissors
HY9eoVjq0J8, 20.0, 30.0, scissors
ICwh6PJBEGw, 350.0, 360.0, scissors
IZqK5tXjWh8, 10.0, 20.0, scissors
InUxCxZYIWI, 310.0, 320.0, scissors
JlB39bUtN90, 160.0, 170.0, scissors
L9LJkCgNl_Y, 30.0, 40.0, scissors
LMzTjjnxaSY, 450.0, 460.0, scissors
Mul6x5eHi_E, 20.0, 30.0, scissors
NQvwR2jkVUo, 540.0, 550.0, scissors
QYpcdUw2mAw, 220.0, 230.0, scissors
Qs-XpIXGafs, 270.0, 280.0, scissors
RREcC2GWsWQ, 150.0, 160.0, scissors
SeZPEPbFQzc, 20.0, 30.0, scissors
SrDW6m_5o7o, 180.0, 190.0, scissors
Tz4APOJpZr4, 30.0, 40.0, scissors
UL2_25FLwH0, 30.0, 40.0, scissors
VOk3SCDgZUs, 60.0, 70.0, scissors
Y3HULVoAkEo, 80.0, 90.0, scissors
_arECEGUoAc, 30.0, 40.0, scissors
c40opYMsalk, 200.0, 210.0, scissors
csOhQS2y8D0, 330.0, 340.0, scissors
eFaU3xANLyQ, 370.0, 380.0, scissors
gCK8evDrnTo, 70.0, 80.0, scissors
gkZv2QS6c70, 180.0, 190.0, scissors
hSj_3aSS2rQ, 340.0, 350.0, scissors
kkdZ_qz_Rjw, 210.0, 220.0, scissors
n5BA9O6I0Wo, 350.0, 360.0, scissors
nGnuJJloAPM, 430.0, 440.0, scissors
q-5_Ed1aRSk, 90.0, 100.0, scissors
qKS1OkpSmH4, 120.0, 130.0, scissors
qNuqsDgyJjE, 50.0, 60.0, scissors
rTsxp3QxlAM, 450.0, 460.0, scissors
uA3S7dG4fCw, 210.0, 220.0, scissors
uO2ZDzmQPoY, 20.0, 30.0, scissors
vAl7W7sqGq4, 250.0, 260.0, scissors
wxfWI5yRC_Y, 60.0, 70.0, scissors
yhMOo9hSdic, 510.0, 520.0, scissors
z3xiKSDoZEI, 160.0, 170.0, scissors
zbVGmr6c4s0, 90.0, 100.0, scissors
-eabL1vJMt0, 150.0, 160.0, scissors
-qpgeVTesdE, 470.0, 480.0, scissors
10DM6WINIS8, 310.0, 320.0, scissors
1hba9jmspEQ, 30.0, 40.0, scissors
2Zqhv2v3bdI, 4.0, 14.0, scissors
2n4hCl6eHZI, 30.0, 40.0, scissors
3v93yDHV-KY, 140.0, 150.0, scissors
5LZyN_CLGF4, 180.0, 190.0, scissors
7IB-SBLSsmA, 460.0, 470.0, scissors
7hgbxirpVh0, 330.0, 340.0, scissors
8iPHp9N_rBY, 130.0, 140.0, scissors
947k-wu6A8Q, 30.0, 40.0, scissors
9AXe0XczeEs, 190.0, 200.0, scissors
9xLXQP-tulE, 150.0, 160.0, scissors
BTeRIiD8KAY, 290.0, 300.0, scissors
D_QEW1Lnl2Q, 30.0, 40.0, scissors
EOkgjAjUo_E, 0.0, 7.0, scissors
EXekviEtzqA, 30.0, 40.0, scissors
G5JHJcvqxqQ, 30.0, 40.0, scissors
GobKpmQrtUU, 140.0, 150.0, scissors
GpGKHdqpoLE, 30.0, 40.0, scissors
GqeqEtwVN5Y, 80.0, 90.0, scissors
ITYv4126yhk, 0.0, 10.0, scissors
KyebYm2Tx9A, 30.0, 40.0, scissors
M41Qo590V-0, 30.0, 40.0, scissors
MY4cTaJMRpA, 120.0, 130.0, scissors
MuVyBt9y0oY, 30.0, 40.0, scissors
O5Oa1PeAI_M, 400.0, 410.0, scissors
Ota5gx9Axq8, 30.0, 40.0, scissors
P6lpr1EHj1c, 400.0, 410.0, scissors
Q9gEh0GV5nw, 30.0, 40.0, scissors
RpmE4k0TIwA, 30.0, 40.0, scissors
RsSDcYmp8eQ, 30.0, 40.0, scissors
Tkj2EWuGEVo, 190.0, 200.0, scissors
XG5BD4iHty8, 60.0, 70.0, scissors
YI6ZZV-J9OE, 30.0, 40.0, scissors
YfeXdgLNp8E, 160.0, 170.0, scissors
aiyBTv4PKcM, 60.0, 70.0, scissors
bI_lEzVsHMY, 30.0, 40.0, scissors
cDqpKAy6jkQ, 480.0, 490.0, scissors
cgulJL9AEHg, 275.0, 285.0, scissors
chlgdMtOyRM, 200.0, 210.0, scissors
cktdNhqe9q0, 90.0, 100.0, scissors
eP7b4e-GLXA, 30.0, 40.0, scissors
fU0YY_TV9qQ, 70.0, 80.0, scissors
flXMshHSJIE, 20.0, 30.0, scissors
h17_091ScWQ, 520.0, 530.0, scissors
hp4uTxjGyy4, 0.0, 10.0, scissors
iNL38aA1kRQ, 510.0, 520.0, scissors
jNO0TzDvF1I, 30.0, 40.0, scissors
lJGtKgjQNgU, 30.0, 40.0, scissors
m172xvZoXsQ, 570.0, 580.0, scissors
o6VWvWUydaU, 110.0, 120.0, scissors
oBf92KajeUo, 30.0, 40.0, scissors
rF8kQyvUhtE, 30.0, 40.0, scissors
sGRQHO6LXtk, 9.0, 19.0, scissors
uuPZ7tdQkEM, 130.0, 140.0, scissors
yU7NYxBRmdQ, 560.0, 570.0, scissors
zOz7xqIUtJo, 30.0, 40.0, scissors
zrcNyjuTbvM, 1.0, 11.0, scissors
